Fabricante;Nombre Producto
Adobe;Creative Cloud for teams All Apps
Adobe;Photoshop for teams
Adobe;Acrobat Pro for Teams
Adobe;Illustrator for teams
Adobe;Dreamweaver for teams
Adobe;Acrobat Sign Solutions for enterprise Transactions - AWS
Adobe;All Apps - Edition 4
Adobe;Dreamweaver Enterprise (Single Apps)
Adobe;Photoshop Enterprise (Single Apps)
Adobe;Acrobat Studio
Adobe;Illustrator Enterprise (Single Apps)
Atlassian;Issue Checklist for Jira. Pro
Atlassian;Jira (Cloud) Enterprise
Autodesk;AutoCAD LT Comercial New Single-User Subcription
Google;Google Analytics 360 G4
Google;Business Standard
Google;Business Standard
Google;Presence Management 
Google;Review Management
Google;Competitive  Benchmark
IBM;IBM MQ Processor Value Unit (PVU) Annual SW Subscription & Support Renewal
IBM;IBM Planning Analytics
Microsoft;SQLSvrStdCore ALNG LicSAPk MVL 2Lic CoreLic
Microsoft;SQLSvrStdCore ALNG LicSAPk MVL 2Lic CoreLic
Microsoft;SQLSvrStdCore ALNG LicSAPk MVL 2Lic CoreLic
Microsoft;SQLSvrStdCore ALNG LicSAPk MVL 2Lic CoreLic
Microsoft;Power Apps per app plan
Microsoft;Power Apps per User plan
Microsoft;Power Automate Process Sub
Microsoft;M365 F3 FUSL Sub Per User
Microsoft;D365 Contact Center Digital Sub Per  User
Microsoft;D365 Contact Center Sub Per User
Microsoft;D365 Contact Center Voice Sub Per  User
Microsoft;D365 Customer Insights Attach Sub
Microsoft;D365 Customer Insights Journeys T2  Interacted People Sub Add-on
Microsoft;M365 E3 Unified Existing Customer Sub Per User
Microsoft;O365 E1 Existing Customer Sub Per User
Microsoft;M365 F1 Sub Per User - TFM
Microsoft;Visual Studio Test Pro MSDN ALNG SA
Microsoft;Win Remote Desktop Services CAL ALng LSA DCAL
Microsoft;Win Remote Desktop Services CAL ALng SA DCAL
Microsoft;Project Standard ALNG SA
Microsoft;Visio Standard ALNG SA
Microsoft;Visual Studio Ent MSDN ALNG SA
Microsoft;Copilot Studio Sub (Messages)
Microsoft;Core Cal ALNG LSA DCAL
Microsoft;Core Cal ALNG SA DCAL
Microsoft;Planner P1 Sub Per User
Microsoft;Planner P1 Sub Per User
Microsoft;Planner P1 Sub Per User
Microsoft;M365 Copilot Sub Add-on
Microsoft;Teams Premium Introductory Pricing Sub Per User
Microsoft;GitHub Enterprise Sub Per User
Microsoft;GitHub Enterprise Sub Per User
Microsoft;M365 Copilot Sub Add-on
Microsoft;M365 Copilot Sub Add-on
Microsoft;M365 Copilot Sub Add-on
Microsoft;M365 Copilot Sub Add-on
Microsoft;GitHub Enterprise Sub Per User
Microsoft;GitHub Enterprise Sub Per User
Microsoft;GitHub Enterprise Sub Per User
Microsoft;GitHub Enterprise Sub Per User
Microsoft;GitHub Enterprise Sub Per User
Microsoft;M365 E3 Unified Sub Per User
Microsoft;M365 E3 Unified Sub Per User
Microsoft;Win Server Standard Core ALng Sub 16L
Microsoft;SQL Server Standard Core ALng Sub 2L
Microsoft;SQL Server Standard Core ALng Sub 2L
Microsoft; SQL Server Enterprise Core ALng Sub 2L
Microsoft; SQL Server Enterprise Core ALng Sub 2L
Microsoft;Biztalk Svr Ent ALng Sub 2 Lic Core Lic
Microsoft;M365 E3 Unified Sub Per User
Microsoft;M365 E3 Unified Sub Per User
Microsoft;M365 E3 Unified Sub Per User
Microsoft;M365 F1 Sub Per User
Microsoft;M365 F1 Sub Per User
Microsoft;M365 F1 Sub Per User
Microsoft; SQL Server Enterprise Core ALng Sub 2L
Microsoft; SQL Server Enterprise Core ALng Sub 2L
Microsoft; SQL Server Enterprise Core ALng Sub 2L
Microsoft;Azure Active Directory Premium P2 SU AADP P1
Microsoft;Azure Active Directory Premium P2 SU AADP P1
Microsoft;Azure Active Directory Premium P2 SU AADP P1
Microsoft;Azure Active Directory Premium P2 SU AADP P1
Microsoft;M365 F1 Sub Per User
Microsoft;M365 F1 Sub Per User
