Fabricante;Producto;Tipo Licencia;Licencia Metrica;Precio;Moneda
Adobe;Creative Cloud for teams All Apps;Suscripción;usuario;973,8600;USD
Adobe;Photoshop for teams;Suscripción;usuario;445,4500;USD
Adobe;Acrobat Pro for Teams;Suscripción;usuario;170,4500;USD
Adobe;Illustrator for teams;Suscripción;usuario;445,4500;USD
Adobe;Dreamweaver for teams;Suscripción;usuario;445,4500;USD
Adobe;Acrobat Sign Solutions for enterprise Transactions - AWS;Suscripción;Transacciones Anuales;0,8900;USD
Adobe;All Apps - Edition 4;Suscripción;usuario;970,0000;USD
Adobe;Dreamweaver Enterprise (Single Apps);Suscripción;usuario;450,0000;USD
Adobe;Photoshop Enterprise (Single Apps);Suscripción;usuario;450,0000;USD
Adobe;Acrobat Studio;Suscripción;usuario;186,0000;USD
Adobe;Illustrator Enterprise (Single Apps);Suscripción;usuario;445,4500;USD
Atlassian;Issue Checklist for Jira. Pro;Suscripción;usuario;5,0600;USD
Atlassian;Confluence (Cloud) Standard;Suscripción;usuario;19397,0000;CLP
Atlassian;Jira (Cloud) Enterprise;Suscripción;usuario;140,5800;USD
Autodesk;AutoCAD LT Comercial New Single-User Subcription;Suscripción;usuario;6155,0000;BRL
Google;Google Analytics 360 G4;Suscripción;Eventos por mes;160560,0000;USD
Google;Business Standard;Suscripción;usuario;168,0000;USD
Google;Presence Management ;Suscripción;Servidores;107,0000;USD
Google;Review Management;Suscripción;Servidores;83,0200;USD
Google;Competitive  Benchmark;Suscripción;Servidores;53,5000;USD
IBM;IBM MQ Processor Value Unit (PVU) Annual SW Subscription & Support Renewal;Suscripción;PVU;29,7200;USD
IBM;IBM Planning Analytics;Suscripción;usuario;20086000,0000;CLP
Microsoft;SQLSvrStdCore ALNG LicSAPk MVL 2Lic CoreLic;Perpétua;Core-Based;3047,4400;USD
Microsoft;SQLSvrStdCore ALNG LicSAPk MVL 2Lic CoreLic;Perpétua;Core-Based;3601,5100;USD
Microsoft;SQLSvrStdCore ALNG LicSAPk MVL 2Lic CoreLic;Perpétua;Core-Based;23185,0000;BRL
Microsoft;SQLSvrStdCore ALNG LicSAPk MVL 2Lic CoreLic;Perpétua;Core-Based;4500,0000;USD
Microsoft;Power Apps per app plan;Suscripción;usuario;52,8000;USD
Microsoft;Power Apps per User plan;Suscripción;Named User;211,2000;USD
Microsoft;Exchange Online P1 Sub Per User;Suscripción;usuario;3,0000;USD
Microsoft;Power BI Pro Sub Per User;Suscripción;usuario;7,0000;USD
Microsoft;Project P3 Sub Per User;Suscripción;usuario;269,0000;USD
Microsoft;Visual Studio Pro MSDN ALng SA;Suscripción;usuario;349,0000;USD
Microsoft;Win Server Standard Core ALng SA 2L;Suscripción;Core-Based;25,0000;USD
Microsoft;Power Automate Process Sub;Suscripción;Dispositivo;726,0000;USD
Microsoft;M365 E5 Unified Existing Customer Sub Per User;Suscripción;usuario;41,0000;USD
Microsoft;M365 E3 Unified Existing Customer Sub Per User - Makro;Suscripción;usuario;26,0000;USD
Microsoft;M365 Copilot Sub Add-on - makro;Suscripción;usuario;30,0000;USD
Microsoft;Visio P1 Sub Per User;Suscripción;No aplica;45,0000;USD
Microsoft;M365 F3 FUSL Sub Per User - makro;Suscripción;usuario;6,0000;USD
Microsoft;M365 F3 FUSL Sub Per User;Suscripción;Named User;41,0400;USD
Microsoft;D365 Contact Center Digital Sub Per  User;Suscripción;usuario;781,6600;USD
Microsoft;D365 Contact Center Sub Per User;Suscripción;usuario;905,0800;USD
Microsoft;D365 Contact Center Voice Sub Per  User;Suscripción;usuario;781,6600;USD
Microsoft;D365 Customer Insights Attach Sub;Suscripción;Dispositivo;4840,0000;USD
Microsoft;D365 Customer Insights Journeys T2  Interacted People Sub Add-on;Suscripción;Dispositivo;1452,0000;USD
Microsoft;M365 E3 Unified Existing Customer Sub Per User;Suscripción;Named User;380,1600;USD
Microsoft;O365 E1 Existing Customer Sub Per User;Suscripción;Named User;25,3200;USD
Microsoft;M365 F1 Sub Per User - TFM;Suscripción;Named User;11,5200;USD
Microsoft;Visual Studio Test Pro MSDN ALNG SA;Suscripción;Named User;304,8000;USD
Microsoft;Win Remote Desktop Services CAL ALng LSA DCAL;Suscripción;Por Definir;62,2800;USD
Microsoft;Win Remote Desktop Services CAL ALng SA DCAL;Suscripción;Por Definir;26,6800;USD
Microsoft;Project Standard ALNG SA;Suscripción;Named User;127,4400;USD
Microsoft;Visio Standard ALNG SA;Suscripción;No aplica;58,0800;USD
Microsoft;Visual Studio Ent MSDN ALNG SA;Suscripción;Named User;1058,8800;USD
Microsoft;Copilot Studio Sub (Messages);Suscripción;Eventos por mes;2280,0000;USD
Microsoft;Core Cal ALNG LSA DCAL;Suscripción;Named User;77,3200;USD
Microsoft;Core Cal ALNG SA DCAL;Suscripción;Named User;38,0400;USD
Microsoft;Planner P1 Sub Per User;Suscripción;Named User;901,3400;BRL
Microsoft;Planner P1 Sub Per User;Suscripción;Named User;104,7200;USD
Microsoft;Planner P1 Sub Per User;Suscripción;Named User;157,0800;USD
Microsoft;M365 Copilot Sub Add-on;Suscripción;Named User;600,0000;USD
Microsoft;Teams Premium Introductory Pricing Sub Per User;Suscripción;Named User;73,9200;USD
